Scientific Name,Common Name,Where Listed,Region  ,ESA Listing Status  ,Group,State,,,,,,,,,,,,,,,,,
Ursus arctos horribilis,Grizzly bear,"U.S.A., conterminous (lower 48) States, except where listed as an experimental population",6,Threatened,Mammals,Wyoming,,,,,,,,,,,,,,,,,
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,Wyoming,,,,,,,,,,,,,,,,,
Zapus hudsonius preblei,Preble's meadow jumping mouse,wherever found,6,Threatened,Mammals,Wyoming,,Count of Scientific Name,Column Labels,,,,,,,,,,,,,,
Gulo gulo luscus,North American wolverine,Wherever found,6,Threatened,Mammals,Wyoming,,Row Labels,Amphibians,Arachnids,Birds,Clams,Conifers and Cycads,Crustaceans,Ferns and Allies,Fishes,Flowering Plants,Insects,Lichens,Mammals,Reptiles,Snails,Grand Total
Mustela nigripes,Black-footed ferret,"U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))",6,"Experimental Population, Non-Essential",Mammals,Wyoming,,New Jersey,,,3,1,,,,,6,1,,3,3,,17
Myotis septentrionalis,Northern Long-Eared Bat,Wherever found,3,Endangered,Mammals,Wyoming,,New Mexico,2,,6,1,,2,1,15,16,2,,7,3,6,61
Zapada glacier,Western glacier stonefly,Wherever found,6,Threatened,Insects,Wyoming,,New York,,,4,6,,,1,,7,2,,2,4,1,27
Penstemon haydenii,Blowout penstemon,Wherever found,6,Endangered,Flowering Plants,Wyoming,,North Carolina,1,1,7,9,,,,5,26,1,1,8,7,2,68
Spiranthes diluvialis,Ute ladies'-tresses,Wherever found,6,Threatened,Flowering Plants,Wyoming,,North Dakota,,,3,,,,,1,1,1,,1,,,7
Platanthera praeclara,Western prairie fringed Orchid,Wherever found,3,Threatened,Flowering Plants,Wyoming,,Ohio,,,3,12,,,,,5,4,,2,2,,28
Yermo xanthocephalus,Desert yellowhead,Wherever found,6,Threatened,Flowering Plants,Wyoming,,Oklahoma,,,4,6,,,,5,1,1,,4,1,,22
Rhinichthys osculus thermalis,Kendall Warm Springs dace,Wherever found,6,Endangered,Fishes,Wyoming,,Oregon,1,,7,,1,2,,7,16,4,,4,4,1,47
Pinus albicaulis,Whitebark pine,Wherever found,6,Threatened,Conifers and Cycads,Wyoming,,Pennsylvania,,,2,9,,,,,5,,,2,2,,20
Charadrius melodus,Piping Plover,"[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.",5,Threatened,Birds,Wyoming,,Rhode Island,,,3,,,,,,2,1,,1,2,,9
Coccyzus americanus,Yellow-billed Cuckoo,Western U.S. DPS,2,Threatened,Birds,Wyoming,,South Carolina,1,,6,3,,,,,21,,1,2,5,,39
Calidris canutus rufa,rufa red knot,Wherever found,5,Threatened,Birds,Wyoming,,South Dakota,,,3,2,,,,2,3,2,,3,,,15
Anaxyrus baxteri,Wyoming Toad,Wherever found,6,Endangered,Amphibians,Wyoming,,Tennessee,,1,4,61,,1,1,33,19,,1,5,1,4,131
Canis lupus,Gray wolf,"U.S.A.: All of AL, AR, CA, CO, CT, DE, FL, GA, IA, IN, IL, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, ND, NE, NH, NJ, NV, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WI, and WV; and portions of AZ, NM, OR, UT, and WA. Mexico.",6,Endangered,Mammals,Wisconsin,,Texas,8,9,14,1,,3,,14,35,9,,6,7,5,111
Lynx canadensis,Canada Lynx,Wherever Found in Contiguous U.S.,6,Threatened,Mammals,Wisconsin,,Utah,,,5,,,,,10,25,1,,4,1,,46
Charadrius melodus,Piping Plover,"[Great Lakes watershed DPS] - Great Lakes, watershed in States of IL, IN, MI, MN, NY, OH, PA, and WI and Canada (Ont.)",3,Endangered,Birds,Wisconsin,,Vermont,,,,1,,,,,2,,,3,,,6
Lampsilis higginsii,Higgins eye (pearlymussel),Wherever found,3,Endangered,Clams,Wisconsin,,Virginia,1,1,4,26,,3,,9,17,3,1,6,5,1,77
Quadrula fragosa,Winged Mapleleaf,"Wherever found, except where listed as an experimental population",3,Endangered,Clams,Wisconsin,,Washington,1,,7,,1,,,1,8,2,,11,1,,32
Discus macclintocki,Iowa Pleistocene snail,Wherever found,3,Endangered,Snails,Wisconsin,,West Virginia,1,,1,13,,3,,2,6,1,,4,,1,32
Lycaeides melissa samuelis,Karner blue butterfly,Wherever found,3,Endangered,Insects,Wisconsin,,Wisconsin,,,3,5,,,,,7,5,,3,1,1,25
Somatochlora hineana,Hine's emerald dragonfly,Wherever found,3,Endangered,Insects,Wisconsin,,Wyoming,1,,3,,1,,,1,4,1,,6,,,17
Aconitum noveboracense,Northern wild monkshood,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,Grand Total,17,12,92,156,3,14,3,105,232,41,4,87,49,22,837
Asclepias meadii,Mead's milkweed,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Cirsium pitcheri,Pitcher's thistle,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Iris lacustris,Dwarf lake iris,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Lespedeza leptostachya,Prairie bush-clover,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Oxytropis campestris var. chartacea,Fassett's locoweed,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Platanthera leucophaea,Eastern prairie fringed orchid,Wherever found,3,Threatened,Flowering Plants,Wisconsin,,,,,,,,,,,,,,,,,
Cumberlandia monodonta,Spectaclecase (mussel),Wherever found,3,Endangered,Clams,Wisconsin,,,,,,,,,,,,,,,,,
Epioblasma triquetra,Snuffbox mussel,Wherever found,3,Endangered,Clams,Wisconsin,,,,,,,,,,,,,,,,,
Hemileuca maia menyanthevora (=H. iroquois),bog buck moth,Wherever found,5,Endangered,Insects,Wisconsin,,,,,,,,,,,,,,,,,
